PC=00000000, ---
PC=0000017c, REG[14]=00000003
PC=00000180, ---
PC=0000016c, REG[15]=0000004b
PC=00000170, REG[15]=0000012c
PC=00000174, REG[15]=0000fbec
PC=00000178, ---
PC=0000017c, REG[14]=00000004
PC=00000180, ---
PC=0000016c, REG[15]=00000064
PC=00000170, REG[15]=00000190
PC=00000174, REG[15]=0000fc50
PC=00000178, ---
PC=0000017c, REG[14]=00000005
PC=00000180, ---
PC=0000016c, REG[15]=0000007d
PC=00000170, REG[15]=000001f4
PC=00000174, REG[15]=0000fcb4
PC=00000178, ---
PC=0000017c, REG[14]=00000006
PC=00000180, ---
PC=0000016c, REG[15]=00000096
PC=00000170, REG[15]=00000258
PC=00000174, REG[15]=0000fd18
PC=00000178, ---
PC=0000017c, REG[14]=00000007
PC=00000180, ---
PC=0000016c, REG[15]=000000af
PC=00000170, REG[15]=000002bc
PC=00000174, REG[15]=0000fd7c
PC=00000178, ---
PC=0000017c, REG[14]=00000008
PC=00000180, ---
PC=0000016c, REG[15]=000000c8
PC=00000170, REG[15]=00000320
PC=00000174, REG[15]=0000fde0
PC=00000178, ---
PC=0000017c, REG[14]=00000009
PC=00000180, ---
PC=0000016c, REG[15]=000000e1
PC=00000170, REG[15]=00000384
PC=00000174, REG[15]=0000fe44
PC=00000178, ---
PC=0000017c, REG[14]=0000000a
PC=00000180, ---
PC=0000016c, REG[15]=000000fa
PC=00000170, REG[15]=000003e8
PC=00000174, REG[15]=0000fea8
PC=00000178, ---
PC=0000017c, REG[14]=0000000b
PC=00000180, ---
PC=0000016c, REG[15]=00000113
PC=00000170, REG[15]=0000044c
PC=00000174, REG[15]=0000ff0c
PC=00000178, ---
PC=0000017c, REG[14]=0000000c
PC=00000180, ---
PC=0000016c, REG[15]=0000012c
PC=00000170, REG[15]=000004b0
PC=00000174, REG[15]=0000ff70
PC=00000178, ---
PC=0000017c, REG[14]=0000000d
PC=00000180, ---
PC=00000184, REG[30]=0000fac0
PC=00000188, REG[13]=00000019
PC=0000018c, REG[14]=0000fac0
PC=00000190, REG[15]=00000000
PC=00000194, ---
PC=00000198, REG[15]=00000001
PC=0000019c, REG[14]=0000fac4
PC=000001a0, ---
PC=00000194, ---
PC=00000198, REG[15]=00000002
PC=0000019c, REG[14]=0000fac8
PC=000001a0, ---
PC=00000194, ---
PC=00000198, REG[15]=00000003
PC=0000019c, REG[14]=0000facc
PC=000001a0, ---
PC=00000194, ---
PC=00000198, REG[15]=00000004
PC=0000019c, REG[14]=0000fad0
PC=000001a0, ---
PC=00000194, ---
PC=00000198, REG[15]=00000005
PC=0000019c, REG[14]=0000fad4
PC=000001a0, ---
PC=00000194, ---
PC=00000198, REG[15]=00000006
PC=0000019c, REG[14]=0000fad8
PC=000001a0, ---
PC=00000194, ---
PC=00000198, REG[15]=00000007
PC=0000019c, REG[14]=0000fadc
PC=000001a0, ---
PC=00000194, ---
PC=00000198, REG[15]=00000008
PC=0000019c, REG[14]=0000fae0
PC=000001a0, ---
PC=00000194, ---
PC=00000198, REG[15]=00000009
PC=0000019c, REG[14]=0000fae4
PC=000001a0, ---
PC=00000194, ---
PC=00000198, REG[15]=0000000a
PC=0000019c, REG[14]=0000fae8
PC=000001a0, ---
PC=00000194, ---
PC=00000198, REG[15]=0000000b
PC=0000019c, REG[14]=0000faec
PC=000001a0, ---
PC=00000194, ---
PC=00000198, REG[15]=0000000c
PC=0000019c, REG[14]=0000faf0
PC=000001a0, ---
PC=00000194, ---
PC=00000198, REG[15]=0000000d
PC=0000019c, REG[14]=0000faf4
PC=000001a0, ---
PC=00000194, ---
PC=00000198, REG[15]=0000000e
PC=0000019c, REG[14]=0000faf8
PC=000001a0, ---
PC=00000194, ---
PC=00000198, REG[15]=0000000f
PC=0000019c, REG[14]=0000fafc
PC=000001a0, ---
PC=00000194, ---
PC=00000198, REG[15]=00000010
PC=0000019c, REG[14]=0000fb00
PC=000001a0, ---
PC=00000194, ---
PC=00000198, REG[15]=00000011
PC=0000019c, REG[14]=0000fb04
PC=000001a0, ---
PC=00000194, ---
PC=00000198, REG[15]=00000012
PC=0000019c, REG[14]=0000fb08
PC=000001a0, ---
PC=00000194, ---
PC=00000198, REG[15]=00000013
PC=0000019c, REG[14]=0000fb0c
PC=000001a0, ---
PC=00000194, ---
PC=00000198, REG[15]=00000014
PC=0000019c, REG[14]=0000fb10
PC=000001a0, ---
PC=00000194, ---
PC=00000198, REG[15]=00000015
PC=0000019c, REG[14]=0000fb14
PC=000001a0, ---
PC=00000194, ---
PC=00000198, REG[15]=00000016
PC=0000019c, REG[14]=0000fb18
PC=000001a0, ---
PC=00000194, ---
PC=00000198, REG[15]=00000017
PC=0000019c, REG[14]=0000fb1c
PC=000001a0, ---
PC=00000194, ---
PC=00000198, REG[15]=00000018
PC=0000019c, REG[14]=0000fb20
PC=000001a0, ---
PC=00000194, ---
PC=00000198, REG[15]=00000019
PC=0000019c, REG[14]=0000fb24
PC=000001a0, ---
PC=000001a4, ---
PC=000001a8, ---
PC=000001ac, REG[ 7]=00000064
PC=000001b0, REG[18]=000003a8
PC=000001b4, REG[16]=00000398
PC=000001b8, REG[ 9]=00000068
PC=000001bc, REG[17]=00000072
PC=000001c0, REG[14]=00000380
PC=000001c4, REG[12]=0000fb28
PC=000001c8, REG[13]=0000fac0
PC=000001cc, ---
PC=000001d0, REG[15]=00000065
PC=000001d4, REG[10]=00000000
PC=000001d8, ---
PC=000001e4, REG[15]=00000001
PC=000001e8, ---
PC=000001ec, REG[15]=00000000
PC=000001f0, REG[10]=00000001
PC=000001f4, ---
PC=000001fc, REG[15]=00000001
PC=00000200, ---
PC=00000204, REG[15]=0000006c
PC=00000208, REG[10]=00000001
PC=0000020c, ---
PC=00000218, REG[15]=00000002
PC=0000021c, ---
PC=00000220, REG[15]=00000001
PC=00000224, REG[10]=00000001
PC=00000228, ---
PC=00000230, REG[15]=00000002
PC=00000234, ---
PC=00000238, REG[15]=00000065
PC=0000023c, REG[10]=00000002
PC=00000240, ---
PC=0000024c, REG[15]=00000003
PC=00000250, ---
PC=00000254, REG[15]=00000002
PC=00000258, REG[10]=00000002
PC=0000025c, ---
PC=00000264, REG[15]=00000003
PC=00000268, ---
PC=0000026c, REG[15]=00000063
PC=00000270, REG[10]=00000003
PC=00000274, ---
PC=00000280, REG[15]=00000004
PC=00000284, ---
PC=00000288, REG[15]=00000003
PC=0000028c, REG[10]=00000003
PC=00000290, ---
PC=00000298, REG[15]=00000004
PC=0000029c, ---
PC=000002a0, REG[14]=00000384
PC=000002a4, REG[13]=0000fad0
PC=000002a8, REG[12]=0000fb38
PC=000002ac, ---
PC=000001d0, REG[15]=00000074
PC=000001d4, REG[10]=00000004
PC=000001d8, ---
PC=000001e4, REG[15]=00000005
PC=000001e8, ---
PC=000001ec, REG[15]=00000004
PC=000001f0, REG[10]=00000004
PC=000001f4, ---
PC=000001fc, REG[15]=00000005
PC=00000200, ---
PC=00000204, REG[15]=00000072
PC=00000208, REG[10]=00000005
PC=0000020c, ---
PC=00000210, ---
PC=00000214, ---
PC=00000238, REG[15]=0000006f
PC=0000023c, REG[10]=00000006
PC=00000240, ---
PC=0000024c, REG[15]=00000007
PC=00000250, ---
PC=00000254, REG[15]=00000006
PC=00000258, REG[10]=00000005
PC=0000025c, ---
PC=00000260, REG[15]=00000005
PC=00000264, REG[15]=00000006
PC=00000268, ---
PC=0000026c, REG[15]=00000065
PC=00000270, REG[10]=00000007
PC=00000274, ---
PC=00000280, REG[15]=00000008
PC=00000284, ---
PC=00000288, REG[15]=00000007
PC=0000028c, REG[10]=00000006
PC=00000290, ---
PC=00000294, REG[15]=00000006
PC=00000298, REG[15]=00000007
PC=0000029c, ---
PC=000002a0, REG[14]=00000388
PC=000002a4, REG[13]=0000fae0
PC=000002a8, REG[12]=0000fb48
PC=000002ac, ---
PC=000001d0, REG[15]=0000006e
PC=000001d4, REG[10]=00000008
PC=000001d8, ---
PC=000001e4, REG[15]=00000009
PC=000001e8, ---
PC=000001ec, REG[15]=00000008
PC=000001f0, REG[10]=00000007
PC=000001f4, ---
PC=000001f8, REG[15]=00000007
PC=000001fc, REG[15]=00000008
PC=00000200, ---
PC=00000204, REG[15]=00000063
PC=00000208, REG[10]=00000009
PC=0000020c, ---
PC=00000218, REG[15]=0000000a
PC=0000021c, ---
PC=00000220, REG[15]=00000009
PC=00000224, REG[10]=00000008
PC=00000228, ---
PC=0000022c, REG[15]=00000008
PC=00000230, REG[15]=00000009
PC=00000234, ---
PC=00000238, REG[15]=00000065
PC=0000023c, REG[10]=0000000a
PC=00000240, ---
PC=0000024c, REG[15]=0000000b
PC=00000250, ---
PC=00000254, REG[15]=0000000a
PC=00000258, REG[10]=00000009
PC=0000025c, ---
PC=00000260, REG[15]=00000009
PC=00000264, REG[15]=0000000a
PC=00000268, ---
PC=0000026c, REG[15]=00000070
PC=00000270, REG[10]=0000000b
PC=00000274, ---
PC=00000280, REG[15]=0000000c
PC=00000284, ---
PC=00000288, REG[15]=0000000b
PC=0000028c, REG[10]=0000000a
PC=00000290, ---
PC=00000294, REG[15]=0000000a
PC=00000298, REG[15]=0000000b
PC=0000029c, ---
PC=000002a0, REG[14]=0000038c
PC=000002a4, REG[13]=0000faf0
PC=000002a8, REG[12]=0000fb58
PC=000002ac, ---
PC=000001d0, REG[15]=00000068
PC=000001d4, REG[10]=0000000c
PC=000001d8, ---
PC=000001e4, REG[15]=0000000d
PC=000001e8, ---
PC=000001ec, REG[15]=0000000c
PC=000001f0, REG[10]=0000000b
PC=000001f4, ---
PC=000001f8, REG[15]=0000000b
PC=000001fc, REG[15]=0000000c
PC=00000200, ---
PC=00000204, REG[15]=00000061
PC=00000208, REG[10]=0000000d
PC=0000020c, ---
PC=00000218, REG[15]=0000000e
PC=0000021c, ---
PC=00000220, REG[15]=0000000d
PC=00000224, REG[10]=0000000c
PC=00000228, ---
PC=0000022c, REG[15]=0000000c
PC=00000230, REG[15]=0000000d
PC=00000234, ---
PC=00000238, REG[15]=0000006c
PC=0000023c, REG[10]=0000000e
PC=00000240, ---
PC=0000024c, REG[15]=0000000f
PC=00000250, ---
PC=00000254, REG[15]=0000000e
PC=00000258, REG[10]=0000000d
PC=0000025c, ---
PC=00000260, REG[15]=0000000d
PC=00000264, REG[15]=0000000e
PC=00000268, ---
PC=0000026c, REG[15]=0000006f
PC=00000270, REG[10]=0000000f
PC=00000274, ---
PC=00000280, REG[15]=00000010
PC=00000284, ---
PC=00000288, REG[15]=0000000f
PC=0000028c, REG[10]=0000000e
PC=00000290, ---
PC=00000294, REG[15]=0000000e
PC=00000298, REG[15]=0000000f
PC=0000029c, ---
PC=000002a0, REG[14]=00000390
PC=000002a4, REG[13]=0000fb00
PC=000002a8, REG[12]=0000fb68
PC=000002ac, ---
PC=000001d0, REG[15]=00000067
PC=000001d4, REG[10]=00000010
PC=000001d8, ---
PC=000001e4, REG[15]=00000011
PC=000001e8, ---
PC=000001ec, REG[15]=00000010
PC=000001f0, REG[10]=0000000f
PC=000001f4, ---
PC=000001f8, REG[15]=0000000f
PC=000001fc, REG[15]=00000010
PC=00000200, ---
PC=00000204, REG[15]=00000072
PC=00000208, REG[10]=00000011
PC=0000020c, ---
PC=00000210, ---
PC=00000214, ---
PC=00000238, REG[15]=00000061
PC=0000023c, REG[10]=00000012
PC=00000240, ---
PC=0000024c, REG[15]=00000013
PC=00000250, ---
PC=00000254, REG[15]=00000012
PC=00000258, REG[10]=00000011
PC=0000025c, ---
PC=00000260, REG[15]=00000011
PC=00000264, REG[15]=00000012
PC=00000268, ---
PC=0000026c, REG[15]=00000070
PC=00000270, REG[10]=00000013
PC=00000274, ---
PC=00000280, REG[15]=00000014
PC=00000284, ---
PC=00000288, REG[15]=00000013
PC=0000028c, REG[10]=00000012
PC=00000290, ---
PC=00000294, REG[15]=00000012
PC=00000298, REG[15]=00000013
PC=0000029c, ---
PC=000002a0, REG[14]=00000394
PC=000002a4, REG[13]=0000fb10
PC=000002a8, REG[12]=0000fb78
PC=000002ac, ---
PC=000001d0, REG[15]=00000068
PC=000001d4, REG[10]=00000014
PC=000001d8, ---
PC=000001e4, REG[15]=00000015
PC=000001e8, ---
PC=000001ec, REG[15]=00000014
PC=000001f0, REG[10]=00000013
PC=000001f4, ---
PC=000001f8, REG[15]=00000013
PC=000001fc, REG[15]=00000014
PC=00000200, ---
PC=00000204, REG[15]=00000069
PC=00000208, REG[10]=00000015
PC=0000020c, ---
PC=00000218, REG[15]=00000016
PC=0000021c, ---
PC=00000220, REG[15]=00000015
PC=00000224, REG[10]=00000014
PC=00000228, ---
PC=0000022c, REG[15]=00000014
PC=00000230, REG[15]=00000015
PC=00000234, ---
PC=00000238, REG[15]=00000065
PC=0000023c, REG[10]=00000016
PC=00000240, ---
PC=0000024c, REG[15]=00000017
PC=00000250, ---
PC=00000254, REG[15]=00000016
PC=00000258, REG[10]=00000015
PC=0000025c, ---
PC=00000260, REG[15]=00000015
PC=00000264, REG[15]=00000016
PC=00000268, ---
PC=0000026c, REG[15]=00000073
PC=00000270, REG[10]=00000017
PC=00000274, ---
PC=00000280, REG[15]=00000018
PC=00000284, ---
PC=00000288, REG[15]=00000017
PC=0000028c, REG[10]=00000016
PC=00000290, ---
PC=00000294, REG[15]=00000016
PC=00000298, REG[15]=00000017
PC=0000029c, ---
PC=000002a0, REG[14]=00000398
PC=000002a4, REG[13]=0000fb20
PC=000002a8, REG[12]=0000fb88
PC=000002ac, ---
PC=000002b0, REG[28]=0000039d
PC=000002b4, REG[30]=0000fb24
PC=000002b8, ---
PC=000001bc, REG[17]=00000061
PC=000001c0, REG[14]=00000380
PC=000001c4, REG[12]=0000fb8c
PC=000001c8, REG[13]=0000fb24
PC=000001cc, ---
PC=000001d0, REG[15]=00000065
PC=000001d4, REG[10]=00000001
PC=000001d8, ---
PC=000001e4, REG[15]=00000001
PC=000001e8, ---
PC=000001f0, REG[10]=00000002
PC=000001f4, ---
PC=000001fc, REG[15]=00000002
PC=00000200, ---
PC=00000204, REG[15]=0000006c
PC=00000208, REG[10]=00000001
PC=0000020c, ---
PC=00000218, REG[15]=00000002
PC=0000021c, ---
PC=00000220, REG[15]=00000001
PC=00000224, REG[10]=00000002
PC=00000228, ---
PC=00000230, REG[15]=00000002
PC=00000234, ---
PC=00000238, REG[15]=00000065
PC=0000023c, REG[10]=00000002
PC=00000240, ---
PC=0000024c, REG[15]=00000003
PC=00000250, ---
PC=00000254, REG[15]=00000002
PC=00000258, REG[10]=00000002
PC=0000025c, ---
PC=00000264, REG[15]=00000003
PC=00000268, ---
PC=0000026c, REG[15]=00000063
PC=00000270, REG[10]=00000003
PC=00000274, ---
PC=00000280, REG[15]=00000004
PC=00000284, ---
PC=00000288, REG[15]=00000003
PC=0000028c, REG[10]=00000003
PC=00000290, ---
PC=00000298, REG[15]=00000004
PC=0000029c, ---
PC=000002a0, REG[14]=00000384
PC=000002a4, REG[13]=0000fb34
PC=000002a8, REG[12]=0000fb9c
PC=000002ac, ---
PC=000001d0, REG[15]=00000074
PC=000001d4, REG[10]=00000004
PC=000001d8, ---
PC=000001e4, REG[15]=00000005
PC=000001e8, ---
PC=000001ec, REG[15]=00000004
PC=000001f0, REG[10]=00000004
PC=000001f4, ---
PC=000001fc, REG[15]=00000005
PC=00000200, ---
PC=00000204, REG[15]=00000072
PC=00000208, REG[10]=00000005
PC=0000020c, ---
PC=00000218, REG[15]=00000005
PC=0000021c, ---
PC=00000224, REG[10]=00000005
PC=00000228, ---
PC=00000230, REG[15]=00000006
PC=00000234, ---
PC=00000238, REG[15]=0000006f
PC=0000023c, REG[10]=00000005
PC=00000240, ---
PC=0000024c, REG[15]=00000006
PC=00000250, ---
PC=00000254, REG[15]=00000005
PC=00000258, REG[10]=00000006
PC=0000025c, ---
PC=00000264, REG[15]=00000006
PC=00000268, ---
PC=0000026c, REG[15]=00000065
PC=00000270, REG[10]=00000006
PC=00000274, ---
PC=00000280, REG[15]=00000007
PC=00000284, ---
PC=00000288, REG[15]=00000006
PC=0000028c, REG[10]=00000006
PC=00000290, ---
PC=00000298, REG[15]=00000007
PC=0000029c, ---
PC=000002a0, REG[14]=00000388
PC=000002a4, REG[13]=0000fb44
PC=000002a8, REG[12]=0000fbac
PC=000002ac, ---
PC=000001d0, REG[15]=0000006e
PC=000001d4, REG[10]=00000007
PC=000001d8, ---
PC=000001e4, REG[15]=00000008
PC=000001e8, ---
PC=000001ec, REG[15]=00000007
PC=000001f0, REG[10]=00000007
PC=000001f4, ---
PC=000001fc, REG[15]=00000008
PC=00000200, ---
PC=00000204, REG[15]=00000063
PC=00000208, REG[10]=00000008
PC=0000020c, ---
PC=00000218, REG[15]=00000009
PC=0000021c, ---
PC=00000220, REG[15]=00000008
PC=00000224, REG[10]=00000008
PC=00000228, ---
PC=00000230, REG[15]=00000009
PC=00000234, ---
PC=00000238, REG[15]=00000065
PC=0000023c, REG[10]=00000009
PC=00000240, ---
PC=0000024c, REG[15]=0000000a
PC=00000250, ---
PC=00000254, REG[15]=00000009
PC=00000258, REG[10]=00000009
PC=0000025c, ---
PC=00000264, REG[15]=0000000a
PC=00000268, ---
PC=0000026c, REG[15]=00000070
PC=00000270, REG[10]=0000000a
PC=00000274, ---
PC=00000280, REG[15]=0000000b
PC=00000284, ---
PC=00000288, REG[15]=0000000a
PC=0000028c, REG[10]=0000000a
PC=00000290, ---
PC=00000298, REG[15]=0000000b
PC=0000029c, ---
PC=000002a0, REG[14]=0000038c
PC=000002a4, REG[13]=0000fb54
PC=000002a8, REG[12]=0000fbbc
PC=000002ac, ---
PC=000001d0, REG[15]=00000068
PC=000001d4, REG[10]=0000000b
PC=000001d8, ---
PC=000001e4, REG[15]=0000000c
PC=000001e8, ---
PC=000001ec, REG[15]=0000000b
PC=000001f0, REG[10]=0000000b
PC=000001f4, ---
PC=000001fc, REG[15]=0000000c
PC=00000200, ---
PC=00000204, REG[15]=00000061
PC=00000208, REG[10]=0000000c
PC=0000020c, ---
PC=00000210, ---
PC=00000214, ---
PC=00000238, REG[15]=0000006c
PC=0000023c, REG[10]=0000000d
PC=00000240, ---
PC=0000024c, REG[15]=0000000e
PC=00000250, ---
PC=00000254, REG[15]=0000000d
PC=00000258, REG[10]=0000000c
PC=0000025c, ---
PC=00000260, REG[15]=0000000c
PC=00000264, REG[15]=0000000d
PC=00000268, ---
PC=0000026c, REG[15]=0000006f
PC=00000270, REG[10]=0000000e
PC=00000274, ---
PC=00000280, REG[15]=0000000f
PC=00000284, ---
PC=00000288, REG[15]=0000000e
PC=0000028c, REG[10]=0000000d
PC=00000290, ---
PC=00000294, REG[15]=0000000d
PC=00000298, REG[15]=0000000e
PC=0000029c, ---
PC=000002a0, REG[14]=00000390
PC=000002a4, REG[13]=0000fb64
PC=000002a8, REG[12]=0000fbcc
PC=000002ac, ---
PC=000001d0, REG[15]=00000067
PC=000001d4, REG[10]=0000000f
PC=000001d8, ---
PC=000001e4, REG[15]=00000010
PC=000001e8, ---
PC=000001ec, REG[15]=0000000f
PC=000001f0, REG[10]=0000000e
